id,name,count,child_count,children
9396,"uncal sulcus",73.7570279811,0,1
9397,"insular lobe sulci",36.8785139905,0,3
9398,"circular sulcus",73.7570279811,0,1
9399,"central sulcus of insula",73.7570279811,0,1
9400,"major divisions",36.8785139905,201,5
9401,"longitudinal fissure",81.4080796722,0,1
9402,"sylvian fissure",163.408079672,82,1
9403,"central sulcus",200.408079672,119,1
9404,"callosal sulcus",81.4080796722,0,1
9405,"metencephalic spaces",12.6557543101,0,13
9406,"cerebellar sulci",25.3115086203,0,12
9407,"precentral fissure",50.6230172406,0,1
9408,"preculminate fissure",50.6230172406,0,1
9409,"intraculminate fissure",50.6230172406,0,1
9410,"primary fissure",50.6230172406,0,1
9411,"superior posterior fissure",50.6230172406,0,1
9412,"horizontal fissure",50.6230172406,0,1
9413,"ansoparamedian fissure",50.6230172406,0,1
9414,"prepyramidal/prebiventer fissure",50.6230172406,0,1
9415,"intrabiventer fissure",50.6230172406,0,1
9416,"secondary fissure",50.6230172406,0,1
9417,"posterolateral fissure",50.6230172406,0,1
9418,"ventricles",213.65575431,293,9
9419,"lateral ventricle",125.506265475,92,3
9420,"third ventricle",33.5062654747,0,2
9421,"fourth ventricle",33.5062654747,0,2
9422,"central canal",33.5062654747,0,1
9439,"central gray substance of midbrain, left, dorsomedial division",441.210305145,0,1
9440,"central gray substance of midbrain, left, dorsolateral division",441.210305145,0,1
9441,"central gray substance of midbrain, left, lateral division",441.210305145,0,1
9442,"central gray substance of midbrain, left, ventrolateral division",441.210305145,0,1
9443,"central gray substance of midbrain, left, pleioglial division",441.210305145,0,1
9444,"central gray substance of midbrain, right, dorsomedial division",441.210305145,0,1
9445,"central gray substance of midbrain, right, dorsolateral division",441.210305145,0,1
9446,"central gray substance of midbrain, right, lateral division",441.210305145,0,1
9447,"central gray substance of midbrain, right, ventrolateral division",441.210305145,0,1
9448,"central gray substance of midbrain, right, pleioglial division",441.210305145,0,1
9449,"Edinger-Westphal nucleus",110.302576286,0,3
9450,"Edinger-Westphal nucleus, left",220.605152572,0,1
9451,"Edinger-Westphal nucleus, right",220.605152572,0,1
9452,"lateral dorsal tegmental nucleus",227.996566216,0,3
9453,"lateral dorsal tegmental nucleus, left",455.993132433,0,1
9454,"lateral dorsal tegmental nucleus, right",455.993132433,0,1
